topic,topic_label,top_words,total_engagement,video_count
50.0,tiktok bet,"['tiktok', 'bet', 'follow', 'video', 'tv', 'editor', 'twitch', 'twitter', 'connor', 'nick']",8718468,9
69.0,youtube borderland,"['youtube', 'borderland', 'switch', 'nintendo', 'early', 'concern', 'cover', 'twitch', 'watch', 'discord']",8682955,9
74.0,und die,"['und', 'die', 'der', 'auf', 'de', 'ist', 'fur', 'mit', 'zu', 'von']",8460611,34
29.0,first year,"['first', 'year', 'police', 'time', 'said', 'one', 'class', 'home', 'new', 'world']",8398141,12
32.0,like twitter,"['like', 'twitter', 'new', 'technology', 'channel', 'social', 'stuff', 'youtube', 'twitch', 'thanks']",7859871,12
9.0,jp nintendo,"['jp', 'nintendo', 'switch', 'html', 'index', 'item', 'ja', 'product', 'co', 'direct']",6319044,4
17.0,twitter tv,"['twitter', 'tv', 'sam', 'youtube', 'fnaf', 'white', 'get', 'check', 'cool', 'watch']",5866422,11
23.0,centralcee snapchat,"['centralcee', 'snapchat', 'sexyyred', 'twitter', 'wwe', 'tik', 'tok', 'red', 'cee', 'central']",5326435,9
88.0,boy bayern,"['boy', 'bayern', 'jfa', 'planet', 'yt', 'news', 'ii', 'jp', 'twitter', 'fc']",5040717,5
98.0,production assistant,"['production', 'assistant', 'lnk', 'set', 'video', 'jack', 'white', 'camera', 'van', 'wardrobe']",4927022,9
60.0,ost lost,"['ost', 'lost', 'twitter', 'expansion', 'twitch', 'discord', 'full', 'colony', 'access', 'u']",4232121,14
57.0,minecraft flamefrags,"['minecraft', 'flamefrags', 'discord', 'server', 'twitch', 'use', 'toxic', 'join', 'play', 'gg']",3996904,3
33.0,open usga,"['open', 'usga', 'golf', 'round', 'highlight', 'live', 'visit', 'game', 'championship', 'final']",3291284,11
76.0,instrumental version,"['instrumental', 'version', 'shop', 'file', 'option', 'red', 'size', 'mask', 'dpi', 'candy']",3072318,7
0.0,amzn show,"['amzn', 'show', 'merch', 'youtube', 'set', 'channel', 'shop', 'store', 'subscribe', 'mini']",3020825,7
95.0,ライフ kee,"['ライフ', 'kee', 'ねえ', 'designer', 'akka', 'milgram', 'animator', 'cv', 'director', 'ユノ']",2797871,7
85.0,video stylist,"['video', 'stylist', 'discord', 'kid', 'manepear', 'production', 'wardrobe', 'minecraft', 'nick', 'director']",2720015,9
46.0,tiktok lnk,"['tiktok', 'lnk', 'official', 'master', 'mix', 'video', 'stop', 'barkey', 'lex', 'shop']",2584970,5
39.0,make love,"['make', 'love', 'cant', 'never', 'babe', 'dated', 'taking', 'always', 'mine', 'come']",1867468,6
1.0,enjoy reddy,"['enjoy', 'reddy', 'vamsi', 'connected', 'unlimited', 'brainrot', 'malayalam', 'stay', 'directed', 'robux']",1386957,3
7.0,nbc news,"['nbc', 'news', 'wjar', 'u', 'follow', 'app', 'read', 'karen', 'turnto', 'murder']",1370891,7
24.0,gd peacock,"['gd', 'peacock', 'key', 'answer', 'score', 'result', 'card', 'usa', 'love', 'loveislandusa']",1356792,9
87.0,bensonboone benson,"['bensonboone', 'benson', 'boone', 'video', 'blue', 'youtube', 'dortmund', 'mr', 'electric', 'official']",1315941,6
79.0,कर ki,"['कर', 'ki', 'contact', 'licensing', 'john', 'video', 'court', 'injured', 'make', 'first']",731980,4
14.0,sky sport,"['sky', 'sport', 'bit', 'ly', 'india', 'test', 'highlight', 'england', 'facebook', 'news']",485716,1
